host_name,Gender
Francisco,male
Brian + Heather,unknown
Alex @ Bcohousing,unknown
Kevin & Maria,unknown
Jana,female
SleepAfloat,unknown
Angela,female
Dan,male
Boris & Susan,unknown
Alex @ Bcohousing,unknown
George,male
Simon,male
Victoria,female
Gilda,female
Victoria/Tim,unknown
Home On Blaine,unknown
SleepAfloat,unknown
Boston,unknown
Andre,male
Alex @ Bcohousing,unknown
Dan,male
Anne,female
Kama,female
Natalie,female
Harry And Susie,unknown
Brian + Heather,unknown
Dan,male
Jason,male
Harry And Susie,unknown
Evonify,unknown
Darlene,female
Claire,female
Steven,male
Thatch,unknown
Kevin & Maria,unknown
Fatima,female
Steven,male
Natalia,female
Turana,unknown
Natalia,female
Luxcrescent,unknown
Shelby,mostly_female
Steven,male
Gilda,female
Ulrich,male
Thatch,unknown
Andre,male
Jay,male
Thatch,unknown
Zachariah,male
Turana,unknown
Booker,male
Anne,female
Yi,andy
Albert,male
Brian + Heather,unknown
Albert,male
Angela,female
Turana,unknown
Alex @ Bcohousing,unknown
Albert,male
Steven,male
Adam,male
Boris & Susan,unknown
Evonify,unknown
Turana,unknown
Anne,female
Evonify,unknown
Seif,unknown
Adam,male
Andy & Daljit,unknown
Gilda,female
John,male
Turana,unknown
Huggy,unknown
Diogo,male
Eric,male
Terry,mostly_male
Turana,unknown
Harry And Susie,unknown
Nina,female
Natalia,female
Jenny,female
Hamed,male
Anne,female
Bluebird,unknown
Gary,male
Philip And Ann,unknown
Gregory,male
Evolve,unknown
Thatch,unknown
Thatch,unknown
Eder,mostly_male
Manuela,female
Steven,male
Kama,female
Fehr,unknown
Huggy,unknown
Kama,female
Brian + Heather,unknown
Alex @ Bcohousing,unknown
Zeus,unknown
Turana,unknown
Brian + Heather,unknown
Natalie,female
Jason,male
Matt,male
Turana,unknown
Albert,male
Lance,male
Caroline,female
Anne,female
Justin,male
Brian + Heather,unknown
Evonify,unknown
Shervin,mostly_male
Mac,male
Thatch,unknown
Anne,female
Steven,male
Boston,unknown
Peter And Hawraa,unknown
John,male
Natalia,female
Evonify,unknown
Thatch,unknown
Adam,male
Priyanka,female
William,male
Anne,female
StayNue,unknown
Harry And Susie,unknown
Thatch,unknown
Marlene,female
Brian + Heather,unknown
Kama,female
Evonify,unknown
Douglas,male
Kevin,male
Adam,male
Albert,male
Alana,female
Booker,male
Patrick,male
Elisangela,unknown
Thatch,unknown
Margaret,female
Brian + Heather,unknown
Alex @ Bcohousing,unknown
Marlene,female
Elliott And Layla,unknown
Evonify,unknown
Rachel,female
Johna,unknown
Jenny,female
Albert,male
Andrea,female
Adam,male
Lauren,mostly_female
Adam,male
Eder,mostly_male
Jay,male
Victor,male
Nancy And Tom,unknown
Adam,male
Harry And Susie,unknown
Thatch,unknown
Josh,male
Joseph,male
Adam,male
Mac,male
David,male
Evonify,unknown
Adam,male
Olivia,female
Damon,male
Ann,female
Albert,male
Seif,unknown
Ann,female
Jennifer,female
Albert,male
Dan,male
Ls,unknown
Brian + Heather,unknown
Thatch,unknown
Evonify,unknown
Brian + Heather,unknown
Benny,male
Manuela,female
Sonder (Boston),unknown
Luxcrescent,unknown
Evonify,unknown
Natalie,female
Turana,unknown
Evonify,unknown
Katia,female
Jonatas,unknown
Anne,female
Eder,mostly_male
Adrian & Nathalie,unknown
Lita,female
Adam,male
Merve,female
Turana,unknown
Ahmad,male
Harry And Susie,unknown
Barbara,female
Thatch,unknown
Karen,female
Natalia,female
Shannon,mostly_female
Melisa,female
Boris & Susan,unknown
Thatch,unknown
Global Luxury Suites,unknown
Huggy,unknown
Steve,male
Catlin,unknown
Natalia,female
Manuela,female
Rich,mostly_male
Minor,unknown
Adam,male
Ls,unknown
Harry And Susie,unknown
Thatch,unknown
Harry And Susie,unknown
Brian + Heather,unknown
Anne,female
Global Luxury,unknown
Albert,male
StayNue,unknown
Emil,male
Harry And Susie,unknown
Kevin,male
Mary,mostly_female
Thatch,unknown
Thatch,unknown
Thatch,unknown
Kelly & Chris,unknown
Diogo,male
Romo & Nayeli,unknown
Albert,male
Dan,male
StayNue,unknown
Harry And Susie,unknown
Adam,male
Luxcrescent,unknown
Melissa,female
Dan,male
Anne,female
Margo,female
Bill,male
Thatch,unknown
Luxcrescent,unknown
Lance,male
Global Luxury,unknown
Steven,male
Turana,unknown
Laura,female
Jason,male
Anne,female
Kevin & Maria,unknown
Ann,female
Adam,male
Diogo,male
Thatch,unknown
Huggy,unknown
Albert,male
Romo & Nayeli,unknown
Jay,male
Josh,male
Jeff,male
Andre,male
Albert,male
Evonify,unknown
Brian + Heather,unknown
Elly,female
Reda,female
Jason,male
Kaitlin,female
Brian + Heather,unknown
Harry And Susie,unknown
Terry,mostly_male
Anne,female
StayNue,unknown
Brian + Heather,unknown
Wayne,male
Alex @ Bcohousing,unknown
Joseph,male
Emma,female
Boris & Susan,unknown
Jessica,female
Sean,male
Matt,male
Matt,male
Jonathan,male
Peter,male
Colleen,female
Susan,female
Barry,male
Chris,mostly_male
Mike,male
Jack And Heather,unknown
Diogo,male
Holly,female
Jim,male
Daryl,mostly_male
Victoria,female
Aileen,female
Margaret,female
Roland,male
Koen,male
Rachel,female
Emma,female
Jason,male
Emma,female
Paul,male
Woodruff,unknown
Steve,male
Jessica,female
Stacy,mostly_female
Sonder (Boston),unknown
Sharhea,unknown
Jeff,male
Waze,unknown
Boris & Susan,unknown
Boris & Susan,unknown
Jingjing,unknown
Emma,female
Boris & Susan,unknown
Steven,male
Lidia,female
Viktoria,female
Karen,female
Von,unknown
Daria,female
May,female
Minh,mostly_female
Emma,female
Jenny,female
Helder,male
Kara,female
Dorothy & Seth,unknown
Mas,unknown
Leslie,mostly_female
Daryl,mostly_male
Emily,female
Holly,female
Peter,male
Stone,male
Kristen,female
Frank,male
Heather And Mike,unknown
Michael,male
Thanh,andy
Justin,male
Janki,female
Dror,male
Charles,male
Romo & Nayeli,unknown
Katie,female
Lixia,unknown
Nicolo,male
Andre,male
Lixia,unknown
Lixia,unknown
Wesley,male
Angela,female
Greg,male
Daryl,mostly_male
Lisa,female
Sabrina,female
Frank,male
TurnKey Vacation Rentals,unknown
Sonder (Boston),unknown
Cordell,male
Nateesha,unknown
Daryl,mostly_male
David,male
Joseph,male
Katy,female
David,male
Drew,male
Andrea,female
Claire,female
Simon,male
Bruce,male
Tadeusz,male
Eelam,unknown
Luke,male
Christina,female
Steven,male
Tim,male
Bandita,unknown
Kim,mostly_female
Kevin & Maria,unknown
Damon,male
Muny,unknown
Katherine,female
Frank,male
Together We,unknown
Eder,mostly_male
Stone,male
Boston Park Plaza,unknown
Sonder (Boston),unknown
Temple Place,unknown
Temple Place,unknown
Terry,mostly_male
Bay Village,unknown
Karen,female
Laurie,female
Temple Place,unknown
Marie,female
Temple Place,unknown
Sonder (Boston),unknown
Dror,male
Jeffrey,male
Temple Place,unknown
Bay Village,unknown
Mimi,female
Marie,female
Natalie,female
Temple Place,unknown
Maverick,male
Natalie,female
Bay Village,unknown
Temple Place,unknown
Temple Place,unknown
